"","unique.data.file.","filesList","indexList"
"1","00034.MTS.avi","00034.MTS.avi_res.csv","00034"
"2","00037.MTS.avi","00037.MTS.avi_res.csv","00037"
"3","00041.MTS.avi","00041.MTS.avi_res.csv","00041"
"4","00048.MTS.avi","00048.MTS.avi_res.csv","00048"
"5","0206.MTS.avi","0206.MTS.avi_res.csv","0206"
"6","1106.MTS.avi","1106.MTS.avi_res.csv","1106"
"7","1606.MTS.avi","1606.MTS.avi_res.csv","1606"
"8","BAJE059.MTS.avi","BAJE059.MTS.avi_res.csv","BAJE059"
"9","BALE050.MTS.avi","BALE050.MTS.avi_res.csv","BALE050"
"10","BALU062.MTS.avi","BALU062.MTS.avi_res.csv","BALU062"
"11","BEAL036.MTS.avi","BEAL036.MTS.avi_res.csv","BEAL036"
"12","BEAM031.MTS.avi","BEAM031.MTS.avi_res.csv","BEAM031"
"13","BICA.MTS.avi","BICA.MTS.avi_res.csv","BICA"
"14","BRLO041.MTS.avi","BRLO041.MTS.avi_res.csv","BRLO041"
"15","COLO022.MTS.avi","COLO022.MTS.avi_res.csv","COLO022"
"16","DIPE004.MTS.avi","DIPE004.MTS.avi_res.csv","DIPE004"
"17","DOMA.MTS.avi","DOMA.MTS.avi_res.csv","DOMA"
"18","DRNE.MTS.avi","DRNE.MTS.avi_res.csv","DRNE"
"19","FOMA057.MTS.avi","FOMA057.MTS.avi_res.csv","FOMA057"
"20","GROP039.MTS.avi","GROP039.MTS.avi_res.csv","GROP039"
"21","HAJA052.MTS.avi","HAJA052.MTS.avi_res.csv","HAJA052"
"22","HUMA058.MTS.avi","HUMA058.MTS.avi_res.csv","HUMA058"
"23","JAEM046.MTS.avi","JAEM046.MTS.avi_res.csv","JAEM046"
"24","JEEO040.MTS.avi","JEEO040.MTS.avi_res.csv","JEEO040"
"25","JOCE014.MTS.avi","JOCE014.MTS.avi_res.csv","JOCE014"
"26","LACL.MTS.avi","LACL.MTS.avi_res.csv","LACL"
"27","MAEL048.MTS.avi","MAEL048.MTS.avi_res.csv","MAEL048"
"28","MAME20.MTS.avi","MAME20.MTS.avi_res.csv","MAME20"
"29","MAPA029.MTS.avi","MAPA029.MTS.avi_res.csv","MAPA029"
"30","MIPH043.MTS.avi","MIPH043.MTS.avi_res.csv","MIPH043"
"31","MOSA065.MTS.avi","MOSA065.MTS.avi_res.csv","MOSA065"
"32","RAEM049.MTS.avi","RAEM049.MTS.avi_res.csv","RAEM049"
"33","RAKA008.MTS.avi","RAKA008.MTS.avi_res.csv","RAKA008"
"34","RIEM0.MTS.avi","RIEM0.MTS.avi_res.csv","RIEM0"
"35","SEEM035.MTS.avi","SEEM035.MTS.avi_res.csv","SEEM035"
"36","SHAN042.MTS.avi","SHAN042.MTS.avi_res.csv","SHAN042"
"37","SOGA061.MTS.avi","SOGA061.MTS.avi_res.csv","SOGA061"
"38","TIUG032.MTS.avi","TIUG032.MTS.avi_res.csv","TIUG032"
"39","VINO.MTS.avi","VINO.MTS.avi_res.csv","VINO"
